ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
05/01/17	10:10:12.86	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/01/17	10:35:59.30	00:00:00.00	R	0000_0000000174764517	A3	1	7661
05/01/17	17:20:17.33	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/01/17	19:52:30.77	00:00:00.00	R	0000_0000000174764517	A3	1	45252
05/01/17	22:32:17.26	00:00:00.00	R	0000_0000000174764517	A3	1	47494
05/02/17	03:18:53.43	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/02/17	20:36:04.72	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/03/17	00:01:02.13	00:00:00.00	R	0000_0000000174764517	A3	1	60927
05/03/17	02:16:20.93	00:00:00.00	R	0000_0000000174764517	A3	1	40237
05/03/17	09:51:07.07	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/03/17	11:12:49.95	00:00:00.00	R	0000_0000000174764517	A3	1	24296
05/03/17	12:33:09.96	00:00:00.00	R	0000_0000000174764517	A3	1	23885
05/03/17	13:16:37.40	00:00:00.00	R	0000_0000000174764517	A3	1	12912
05/03/17	20:05:33.96	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/03/17	22:35:02.71	00:00:00.00	R	0000_0000000174764517	A3	1	44432
05/04/17	00:38:49.13	00:00:00.00	R	0000_0000000174764517	A3	1	36789
05/04/17	07:35:04.34	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/04/17	08:22:33.21	00:00:00.00	R	0000_0000000174764517	A3	1	14112
05/04/17	10:24:06.80	00:00:00.00	R	0000_0000000174764517	A3	1	36144
05/04/17	20:58:10.06	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/04/17	22:35:21.64	00:00:00.00	R	0000_0000000174764517	A3	1	28893
05/04/17	23:17:06.63	00:00:00.00	R	0000_0000000174764517	A3	1	12409
05/04/17	23:18:38.26	00:00:00.00	R	0000_0000000174764517	A3	1	453
05/05/17	02:15:49.78	00:00:00.00	R	0000_0000000174764517	A3	1	52670
05/05/17	02:29:40.66	00:00:00.00	R	0000_0000000174764517	A3	1	4115
05/05/17	03:32:05.34	00:00:00.00	A	982_000362714527	A4	1	65534
05/05/17	03:32:34.87	00:00:00.00	A	982_000362714527	A4	1	145
05/05/17	03:32:39.54	00:00:00.00	A	982_000362714527	A4	1	22
05/05/17	03:32:42.77	00:00:00.00	A	982_000362714527	A4	1	15
05/05/17	03:32:47.42	00:00:00.00	A	982_000362714527	A4	1	22
05/05/17	03:49:02.51	00:00:00.00	R	0000_0000000174764517	A3	1	23588
05/05/17	08:14:31.26	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/05/17	08:34:54.92	00:00:00.00	R	0000_0000000174764517	A3	1	6061
05/05/17	12:25:15.59	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/05/17	16:24:53.25	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/05/17	19:59:18.96	00:00:00.00	R	0000_0000000174764517	A3	1	63721
05/05/17	21:05:54.79	00:00:00.00	R	0000_0000000174764517	A3	1	19795
05/05/17	23:55:19.91	00:00:00.00	R	0000_0000000174764517	A3	1	50353
05/06/17	11:25:57.21	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/06/17	15:08:21.17	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/06/17	19:07:15.61	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/06/17	19:11:47.92	00:00:00.00	R	0000_0000000174764517	A3	1	1348
05/06/17	21:27:58.22	00:00:00.00	R	0000_0000000174764517	A3	1	40478
05/06/17	22:05:03.68	00:00:00.00	R	0000_0000000174764517	A3	1	11024
05/06/17	22:07:11.85	00:00:00.00	R	0000_0000000174764517	A3	1	634
05/07/17	01:00:49.74	00:00:00.00	R	0000_0000000174764517	A3	1	51605
05/07/17	07:13:04.59	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/07/17	07:30:34.76	00:00:00.00	R	0000_0000000174764517	A3	1	5202
05/07/17	10:37:46.03	00:00:00.00	R	0000_0000000174764517	A3	1	55634
05/07/17	11:25:52.98	00:00:00.00	R	0000_0000000174764517	A3	1	14303
05/07/17	12:38:08.58	00:00:00.00	R	0000_0000000174764517	A3	1	21477
05/07/17	12:40:06.47	00:00:00.00	R	0000_0000000174764517	A3	1	583
05/07/17	13:44:05.29	00:00:00.00	R	0000_0000000174764517	A3	1	19013
05/07/17	14:41:43.16	00:00:00.00	R	0000_0000000174764517	A3	1	17125
05/07/17	18:59:04.89	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/07/17	21:09:40.57	00:00:00.00	R	0000_0000000174764517	A3	1	38816
05/07/17	21:28:19.22	00:00:00.00	R	0000_0000000174764517	A3	1	5541
05/07/17	23:36:52.38	00:00:00.00	R	0000_0000000174764517	A3	1	38215
05/07/17	23:50:26.27	00:00:00.00	R	0000_0000000174764517	A3	1	4031
05/08/17	01:34:37.92	00:00:00.00	R	0000_0000000174764517	A3	1	30963
05/08/17	02:53:52.56	00:00:00.00	R	0000_0000000174764517	A3	1	23548
05/08/17	09:25:15.40	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/08/17	10:56:06.03	00:00:00.00	R	0000_0000000174764517	A3	1	27004
05/08/17	13:24:49.46	00:00:00.00	R	0000_0000000174764517	A3	1	44197
05/08/17	14:50:32.76	00:00:00.00	R	0000_0000000174764517	A3	1	25473
05/08/17	15:12:47.62	00:00:00.00	R	0000_0000000174764517	A3	1	6610
05/08/17	16:59:13.63	00:00:00.00	R	0000_0000000174764517	A3	1	31627
05/08/17	17:49:51.94	00:00:00.00	R	0000_0000000174764517	A3	1	15047
05/08/17	19:42:03.89	00:00:00.00	R	0000_0000000174764517	A3	1	33349
05/09/17	00:02:42.30	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/09/17	00:30:24.56	00:00:00.00	R	0000_0000000174764517	A3	1	8233
05/09/17	04:38:46.31	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/09/17	05:56:31.88	00:00:00.00	R	0000_0000000174764517	A3	1	23111
05/09/17	06:20:27.64	00:00:00.00	R	0000_0000000174764517	A3	1	7111
05/09/17	06:21:14.48	00:00:00.00	R	0000_0000000174764517	A3	1	231
05/09/17	09:40:00.72	00:00:00.00	R	0000_0000000174764517	A3	1	59082
05/09/17	13:01:32.19	00:00:00.00	R	0000_0000000174764517	A3	1	59892
05/09/17	17:25:16.94	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/09/17	18:19:57.21	00:00:00.00	R	0000_0000000174764517	A3	1	16245
05/09/17	22:40:53.63	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/09/17	22:53:26.26	00:00:00.00	R	0000_0000000174764517	A3	1	3727
05/10/17	01:00:57.64	00:00:00.00	R	0000_0000000174764517	A3	1	37900
05/10/17	01:55:09.08	00:00:00.00	R	0000_0000000174764517	A3	1	16106
05/10/17	02:44:55.91	00:00:00.00	R	0000_0000000174764517	A3	1	14795
05/10/17	08:23:09.60	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/10/17	11:19:29.13	00:00:00.00	R	0000_0000000174764517	A3	1	52403
05/10/17	14:46:21.31	00:00:00.00	R	0000_0000000174764517	A3	1	61481
05/10/17	14:51:02.39	00:00:00.00	R	0000_0000000174764517	A3	1	1391
05/10/17	17:26:40.72	00:00:00.00	R	0000_0000000174764517	A3	1	46249
05/10/17	17:50:52.45	00:00:00.00	R	0000_0000000174764517	A3	1	7189
05/10/17	18:19:43.18	00:00:00.00	R	0000_0000000174764517	A3	1	8571
05/10/17	18:43:17.32	00:00:00.00	R	0000_0000000174764517	A3	1	7003
05/10/17	21:04:04.05	00:00:00.00	R	0000_0000000174764517	A3	1	41846
05/11/17	01:09:05.02	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/11/17	08:00:31.44	00:00:00.00	R	0000_0000000174764517	A3	1	65534
05/11/17	09:44:25.59	00:00:00.00	R	0000_0000000174764517	A3	1	30886
